the_geom,site,description,latitude,longitude,field_5,field_6,field_7,field_8,fecaldescriptiveperstation_average_of_fecal_conform,max,min,count,mean,fecaldescriptiveperstation_percent_safe,percentunsafe,cartodb_id,created_at,updated_at
0101000020E6100000273108AC1C7052C0889CBE9EAF614440,AC1,Alley Creek & Northern Blvd.,-73.75175,40.763172,,,,,,200000,11,154,21816,0.34,0.66,1,2014-09-13 03:20:56.301569+00,2014-09-13 03:20:56.301569+00
0101000020E6100000DF2BBAF59A7352C013AE47E17A544440,BB2,Head of Basin,-73.806333,40.66,,,,,,200000,99,90,35483,0.25,0.75,2,2014-09-13 03:20:56.301569+00,2014-09-13 03:20:56.301569+00
0101000020E610000098BD6C3B6D7452C0FA7E6ABC74534440,BB4,Mouth of Basin,-73.819167,40.652,,,,,,200000,45,90,6399,0.4,0.6,3,2014-09-13 03:20:56.301569+00,2014-09-13 03:20:56.301569+00
0101000020E61000004450357A357752C0EC4E779E78724440,BR1,Bronx River and 231st Street,-73.862639,40.894306,,,,,,115000,144,86,6950,0.28,0.72,4,2014-09-13 03:20:56.301569+00,2014-09-13 03:20:56.301569+00
0101000020E61000008962F206987852C0F030ED9BFB694440,BR3,Westchester Avenue & Bronx Riv,-73.884279,40.827991,,,,,,200000,24,85,8910,0.59,0.41,5,2014-09-13 03:20:56.301569+00,2014-09-13 03:20:56.301569+00
0101000020E61000003DBB7CEBC37752C0CE6A813D26684440,BR5,Mouth of Bronx River,-73.871333,40.813667,,,,,,20000,5,95,1009,0.82,0.18,6,2014-09-13 03:20:56.301569+00,2014-09-13 03:20:56.301569+00
0101000020E610000019E42EC2147F52C0CA147310744A4440,CIC2,Coney Island Creek and Cropsey Ave.,-73.985642,40.581667,,,,,,200000,54,121,37402,0.06,0.94,7,2014-09-13 03:20:56.301569+00,2014-09-13 03:20:56.301569+00
0101000020E6100000CCF09F6EA07F52C011E50B5A484A4440,CIC3,Coney Is Creek,-73.994167,40.580333,,,,,,106000,10,123,4735,0.52,0.48,8,2014-09-13 03:20:56.301569+00,2014-09-13 03:20:56.301569+00
0101000020E61000002C634337FB7052C073DBBE47FD6B4440,E10,Hart Island,-73.765333,40.843667,,,,,25.14,508,1,172,25,1,0,9,2014-09-13 03:20:56.301569+00,2014-09-13 03:20:56.301569+00
0101000020E610000049BDA772DA7052C0CCCCCCCCCC644440,E11,Little Neck Bay,-73.763333,40.7875,,,,,126.86,2000,1,163,127,0.97,0.03,10,2014-09-13 03:20:56.301569+00,2014-09-13 03:20:56.301569+00
0101000020E610000017D9CEF7537752C05E471CB281664440,E14,Bronx River,-73.8645,40.800833,,,,,137.84,2000,1,174,138,0.98,0.02,11,2014-09-13 03:20:56.301569+00,2014-09-13 03:20:56.301569+00
0101000020E6100000EE7C3F355E7652C08B6CE7FBA9614440,E15,Flushing Bay South,-73.8495,40.763,,,,,,20000,1,179,1012,0.74,0.26,12,2014-09-13 03:20:56.301569+00,2014-09-13 03:20:56.301569+00
0101000020E6100000AE47E17A147E52C0B45549641F5E4440,E2,23rd Street,-73.97,40.735333,,,,,148.89,2000,1,175,149,0.97,0.03,13,2014-09-13 03:20:56.301569+00,2014-09-13 03:20:56.301569+00
0101000020E61000005EBA490C027B52C05C8FC2F528644440,E4,Hell Gate,-73.922,40.7825,,,,,165.42,4000,1,175,165,0.98,0.02,14,2014-09-13 03:20:56.301569+00,2014-09-13 03:20:56.301569+00
0101000020E610000052944BE3177752C0068195438B644440,E6,Flushing Bay,-73.860833,40.7855,,,,,180.35,2000,1,180,180,0.96,0.04,15,2014-09-13 03:20:56.301569+00,2014-09-13 03:20:56.301569+00
0101000020E61000008C976E12837452C0D7A3703D0A674440,E7,Whitestone,-73.8205,40.805,,,,,128.48,2000,1,174,128,0.96,0.04,16,2014-09-13 03:20:56.301569+00,2014-09-13 03:20:56.301569+00
0101000020E610000015FDA199277252C05739B4C876664440,E8,Throgs Neck,-73.783667,40.8005,,,,,105.65,2000,1,175,106,0.98,0.02,17,2014-09-13 03:20:56.301569+00,2014-09-13 03:20:56.301569+00
0101000020E61000001E166A4DF37852C0CD74AF93FA524440,F1,Head of Fresh Creek,-73.88985,40.648272,,,,,,20000,44,29,2173,0.65,0.35,18,2014-09-13 03:20:56.301569+00,2014-09-13 03:20:56.301569+00
0101000020E610000099D4D006607852C02F50526001524440,F5,Mouth of Fresh Creek,-73.880861,40.640667,,,,,,20000,11,63,1251,0.85,0.15,19,2014-09-13 03:20:56.301569+00,2014-09-13 03:20:56.301569+00
0101000020E6100000A39410ACAA7652C066D993C0E6624440,FB1,Flushing Bay North,-73.854167,40.772667,,,,,499.39,12400,1,178,499,0.86,0.14,20,2014-09-13 03:20:56.301569+00,2014-09-13 03:20:56.301569+00
0101000020E61000001EA9BEF38B7552C0938B31B08E614440,FLC1,Flushing Creek,-73.836667,40.762167,,,,,,78000,20,178,3395,0.57,0.43,21,2014-09-13 03:20:56.301569+00,2014-09-13 03:20:56.301569+00
0101000020E610000055BFD2F9F07552C052B81E85EB614440,FLC2,Flushing Crk. Mouth,-73.842833,40.765,,,,,,98000,1,178,3047,0.68,0.32,22,2014-09-13 03:20:56.301569+00,2014-09-13 03:20:56.301569+00
0101000020E6100000D87F9D9B368052C04529215855554440,G2,Gowanus Channel,-74.003333,40.666667,,,,,665.11,4000,2,160,665,0.82,0.18,23,2014-09-13 03:20:56.301569+00,2014-09-13 03:20:56.301569+00
0101000020E610000034828DEBDF8052C0CDCCCCCCCC4C4440,GB1,Gravesend Bay,-74.013667,40.6,,,,,221.32,4000,2,144,221,0.96,0.04,24,2014-09-13 03:20:56.301569+00,2014-09-13 03:20:56.301569+00
0101000020E610000063EE5A423E7F52C0055262D7F6564440,GC3,Union Street Bridge,-73.988175,40.679408,,,,,,200000,3,144,18989,0.62,0.38,25,2014-09-13 03:20:56.301569+00,2014-09-13 03:20:56.301569+00
0101000020E6100000D216D7F84C7F52C0BCC96FD1C9564440,GC4,Carroll Street Bridge,-73.989073,40.678034,,,,,,200000,4,143,21117,0.6,0.4,26,2014-09-13 03:20:56.301569+00,2014-09-13 03:20:56.301569+00
0101000020E6100000DD4598A25C7F52C0487023658B564440,GC5,3rd Street Bridge,-73.990029,40.676129,,,,,,200000,4,144,18143,0.63,0.37,27,2014-09-13 03:20:56.301569+00,2014-09-13 03:20:56.301569+00
0101000020E610000006465ED6C47F52C06D85B01A4B564440,GC6,9th Street Bridge,-73.996389,40.674167,,,,,,200000,4,144,16197,0.58,0.42,28,2014-09-13 03:20:56.301569+00,2014-09-13 03:20:56.301569+00
0101000020E61000003DBB7CEBC37B52C0448B6CE7FB694440,H3,155th Street,-73.933833,40.828,,,,,292.19,4000,1,170,292,0.94,0.06,29,2014-09-13 03:20:56.301569+00,2014-09-13 03:20:56.301569+00
